Date,huc12,ppt,tmean,tmax,tmin
2012-02-01,170402080404,33.37035810058471,-2.009210785934547,2.529046165472861,-6.547982766554993
2012-03-01,170402080608,20.434948275046438,5.115335771410461,11.643209178238708,-1.411896736731678
2012-03-01,170402080102,30.72469766701062,2.5730287091663264,8.399796346059214,-3.2533383645976977
2012-03-01,170402080104,42.06375860523712,1.9064486060068078,7.436601708928582,-3.62343861102666
2012-03-01,170402080106,30.2385281419296,2.4535137232748436,7.756529876284381,-2.849084009551328
2012-03-01,170402080107,28.255731667611716,2.673687168713296,8.610058086064333,-3.262254278212485
2012-03-01,170402080105,27.495142123975295,2.912846737738812,9.11827321775032,-3.2920869886875153
2012-03-01,170402080108,28.84910062871242,2.9821602482912644,9.28340562879404,-3.318615864970283
2012-03-01,170402080211,38.68150890111456,3.6800012902706998,9.786362532344642,-2.425899252691205
2012-03-01,170402080506,26.15168661925236,4.302757425228026,10.263989982255008,-1.65799107637245
2012-03-01,170402080602,32.16404090809851,3.76152188360476,9.703755895153282,-2.1801766437600527
2012-03-01,170402080603,36.02983024848545,3.2074354057371655,9.001748153182136,-2.5864008193643695
2012-03-01,170402080605,24.28694445941325,4.830005066350745,11.329270068135349,-1.668578851067963
2012-03-01,170402080607,23.567610740456182,5.23192661870515,11.782285475835012,-1.3177275175155514
2012-03-01,170402080606,22.684095122192243,5.241940226567006,11.928906110710168,-1.4444098971070023
2012-03-01,170402080507,25.316806623223723,4.858909998643802,11.145010934611339,-1.4265488285958416
2012-03-01,170402080101,30.203062471630908,2.7564621389291846,8.70090937280351,-3.18756192353121
2012-03-01,170402080103,40.15267658984667,2.0741075297296545,7.311087226548186,-3.1624985328271755
2012-03-01,170402080206,49.891109737282946,1.8124340344114485,7.237483174504545,-3.6122014679432306
2012-03-01,170402080501,35.60486698827614,3.345136592559471,9.028878846711025,-2.3381291101078787
2012-03-01,170402080502,37.565229088810874,3.3798844531114884,9.15298114630101,-2.3927627851071094
2012-03-01,170402080503,29.80442231845635,4.34434665057851,10.54703081832535,-1.8577972096958377
2012-03-01,170402080504,43.2336876063649,3.071699342456194,8.894434350788,-2.750579808195038
2012-03-01,170402080505,32.462321034735744,4.085530485067656,10.274363385436413,-2.102847100223122
2012-03-01,170402080601,36.565114026206984,2.7794943332207374,8.311549441081663,-2.7521130355478034
2012-03-01,170402080604,25.9654886116595,4.5913145190450395,10.884006114459144,-1.7007588017580193
2012-03-01,170402080305,41.43010862420957,3.8748774495932583,9.689613958959805,-1.939362426707436
2012-03-01,170402080306,32.09834209812858,4.42538399060307,10.66129347852716,-1.8099332466453266
2012-03-01,170402080201,31.42458925225112,2.200177709772655,8.466520148458203,-4.065682572950504
2012-03-01,170402080203,36.710113515156486,3.262128736275756,9.356524328945735,-2.831820816523092
2012-03-01,170402080202,27.402332393024658,2.6854762005785116,9.284426004972149,-3.9130133823251265
2012-03-01,170402080204,29.603276780012134,2.9956142687332052,9.528673136983137,-3.5369701303529015
2012-03-01,170402080208,54.23088434367458,2.84637745164938,8.680035252018099,-2.986883359091027
2012-03-01,170402080209,59.342969532814294,2.698528855668064,8.452723527421032,-3.0552525494885856
2012-03-01,170402080207,39.62814233440903,3.1389730014963275,9.059680273792768,-2.7813313210168276
2012-03-01,170402080210,39.87297670037057,3.6935798682177854,9.83982944320388,-2.452110487500098
2012-03-01,170402080301,56.85679844365743,2.9600139754032027,8.68715060587546,-2.7666815857389078
2012-03-01,170402080303,45.93987047868497,4.177644531718512,10.155713205703895,-1.7998490017145978
2012-03-01,170402080302,35.91681676163504,4.566641283442219,10.96465584695579,-1.8307752258566972
2012-03-01,170402080304,49.035096976819176,3.6038674155922092,9.490425328694199,-2.282127682373062
2012-03-01,170402080307,41.19024733774022,4.015161010089426,10.232523012114092,-2.2016968384576723
2012-03-01,170402080308,29.417392126244337,4.5426928443340415,11.021211038389852,-1.9351876336623002
2012-03-01,170402080401,30.65926227843012,4.554848781297674,11.040224889126371,-1.929914953267037
2012-03-01,170402080403,34.023131947904474,4.061549562586971,10.40577592954531,-2.2821598025905345
2012-03-01,170402080205,30.06196274982491,3.0741509428648186,9.471825668299308,-3.322985861011755
2012-03-01,170402080402,42.319612283553276,3.531892059676501,9.452906683318469,-2.388563585865254
2012-03-01,170402080404,35.62823638221585,3.7297822399765037,9.93248028986279,-2.4724792212459206
2012-04-01,170402080608,16.65801827452027,8.81233729522614,17.311774875363124,0.3138782942985886
2012-04-01,170402080102,38.81755414016489,6.757192278710696,13.66305931944114,-0.14776659878687223
2012-04-01,170402080104,58.707634331768496,5.916655459752707,12.336430004217046,-0.5024461417092393
2012-04-01,170402080106,42.19437027785011,6.7691005872753385,13.155288851303263,0.38364600663339926
2012-04-01,170402080107,41.6225856784512,6.923117028360167,13.936954272538925,-0.0897974318331255
2012-04-01,170402080105,37.916524819587984,7.150314742146118,14.47001769253702,-0.16852075178176165
2012-04-01,170402080108,40.44264139869969,7.201855208573819,14.703615295353222,-0.29900172714993906
2012-04-01,170402080211,45.51294340372629,7.631741471201759,15.03013787437799,0.2342196492167442
2012-04-01,170402080506,31.340952625849287,8.360806767364528,15.845537642091061,0.8770478612056932
2012-04-01,170402080602,36.63095052826872,7.787215436265215,15.099804209170937,0.4755613304109781
2012-04-01,170402080603,45.44371561528545,7.234249805963913,14.307621817279248,0.16170727021375392
2012-04-01,170402080605,22.04746411167468,8.56262606843378,16.91586302144327,0.21037062069478912
2012-04-01,170402080607,17.458070939025614,8.906322677583153,17.386920325100164,0.42671222964049565
2012-04-01,170402080606,17.19238956410286,8.86872250716296,17.605306133564696,0.13299649686531262
