Year,huc12,histogram
2022,170402080103,"{90=764.0901960784314, 21=133.0, 41=3620.6666666666665, 42=22464.862745098035, 22=2.0, 95=7.0, 52=14752.34509803923}"
2022,170402080206,"{71=38.25490196078431, 90=689.6078431372549, 21=498.77647058823527, 42=45520.250980392186, 81=1.0, 41=3838.600000000001, 22=231.38039215686274, 95=22.0, 52=34107.396078431426}"
2022,170402080501,"{95=20.0, 11=1.0, 52=73443.84705882358, 71=83.6078431372549, 24=1.0, 90=728.2431372549021, 42=19105.694117647057, 82=4555.0, 81=53.0, 23=13.0, 41=15474.603921568625, 22=1052.8941176470585, 21=1013.1960784313726}"
2022,170402080502,"{71=356.38823529411764, 24=2.772549019607843, 90=193.67058823529413, 95=26.0, 23=103.2156862745098, 82=527.5411764705882, 81=710.8392156862744, 41=2016.007843137255, 42=13107.192156862737, 22=926.0980392156865, 21=1236.2705882352946, 52=29249.32549019609}"
2022,170402080503,"{31=68.0, 11=25.0, 95=496.8, 52=95946.27843137251, 71=4420.670588235294, 24=34.227450980392156, 90=434.08627450980396, 41=3790.501960784314, 82=1244.1843137254903, 81=3042.207843137255, 23=902.6823529411765, 42=4716.976470588235, 22=3157.2666666666673, 21=1462.8235294117646}"
2022,170402080504,"{71=961.9921568627451, 90=734.8666666666667, 42=43890.99607843136, 82=643.7960784313726, 23=36.956862745098036, 81=362.6078431372549, 41=6099.380392156863, 22=1759.780392156863, 21=1127.6509803921567, 52=84313.23529411771}"
2022,170402080505,"{11=6.0, 95=22.0, 52=59002.85490196076, 71=11120.99607843138, 24=773.1333333333333, 90=112.0, 42=8152.450980392159, 82=655.4549019607844, 23=3633.450980392157, 81=682.5019607843137, 41=1229.1529411764704, 22=9234.690196078429, 21=3689.635294117647}"
2022,170402080601,"{71=9206.694117647063, 90=906.7372549019608, 21=1210.6862745098038, 22=189.08627450980393, 82=74.0, 42=19632.172549019626, 81=39.0, 41=2161.772549019608, 95=246.0, 11=10.0, 52=71478.88235294117}"
2022,170402080604,"{71=17371.60784313726, 90=15.0, 82=12890.53725490196, 41=15.0, 42=22.0, 22=245.0078431372549, 21=524.2627450980392, 52=45219.61176470587}"
2022,170402080305,"{71=26.0, 90=8.0, 11=162.89411764705883, 23=2.0, 82=6311.517647058824, 81=209.0, 41=423.7333333333334, 42=7692.070588235296, 22=364.82352941176475, 21=1248.6392156862746, 52=59538.635294117674}"
2022,170402080306,"{71=639.1686274509804, 90=12.0, 95=288.3450980392156, 11=0.10196078431372549, 81=869.5333333333333, 82=27068.647058823542, 23=8.0, 42=4506.419607843137, 41=158.27843137254902, 22=569.6862745098039, 21=1769.4039215686275, 52=48212.247058823545}"
2022,170402080201,"{71=325.3176470588235, 90=39.90588235294118, 21=639.7607843137257, 22=150.0078431372549, 82=20186.48235294119, 41=2668.0549019607847, 81=5.0, 42=4445.768627450981, 11=3.0, 95=110.0, 52=35550.984313725494}"
2022,170402080203,"{90=2.0, 82=5347.670588235294, 42=10291.796078431373, 23=26.76078431372549, 41=335.5333333333333, 22=261.0235294117647, 21=550.3098039215686, 52=20844.811764705904}"
2022,170402080202,"{95=17.0, 11=5.0, 52=87835.66274509806, 71=310.4980392156863, 24=2.0, 90=36.0, 41=938.6235294117648, 82=46770.03529411769, 23=108.13725490196079, 81=193.0, 42=17347.094117647048, 22=1831.5058823529419, 21=2516.274509803921}"
2022,170402080204,"{71=47.0, 24=24.0, 90=23.0, 21=3536.5647058823533, 42=22971.478431372554, 82=100249.14901960798, 81=35.94901960784314, 23=250.53333333333333, 41=608.0509803921569, 22=3983.835294117647, 95=8.0, 52=30035.678431372526}"
2022,170402080208,"{71=16.423529411764704, 90=46.898039215686275, 95=134.0, 41=227.59607843137255, 82=4671.0, 81=137.0, 23=53.898039215686275, 42=26080.592156862745, 22=592.913725490196, 21=727.270588235294, 52=30455.850980392148}"
2022,170402080209,"{71=46.89411764705882, 90=352.81960784313725, 21=1424.517647058823, 22=769.9137254901962, 42=62715.266666666736, 82=1183.1019607843136, 81=1376.4549019607844, 23=8.0, 41=946.8470588235294, 95=275.7882352941176, 11=3.0, 52=46940.8705882353}"
2022,170402080207,"{71=36.74509803921569, 90=1868.4039215686275, 21=717.5686274509804, 22=1430.7176470588233, 42=33025.7725490196, 82=5306.325490196078, 81=1708.0, 23=20.462745098039214, 41=7424.15294117647, 11=3.6431372549019607, 95=1536.0, 52=57381.96470588237}"
2022,170402080210,"{95=847.5725490196079, 11=67.0, 52=54150.65882352941, 71=882.5882352941178, 24=30.0, 90=761.721568627451, 42=19073.349019607846, 82=12638.254901960787, 81=3292.8313725490198, 23=339.8705882352941, 41=2570.9882352941177, 22=2162.619607843137, 21=1646.7137254901954}"
2022,170402080301,"{71=385.8392156862745, 90=4.454901960784314, 82=189.69803921568632, 42=24562.56078431372, 41=3195.5803921568627, 22=17.070588235294117, 21=226.28235294117647, 52=26822.69411764706}"
2022,170402080303,"{71=473.48627450980393, 90=5.0, 42=11298.596078431365, 82=5835.549019607842, 81=250.56470588235294, 23=57.90588235294118, 41=4159.988235294118, 22=423.4980392156863, 21=1043.6901960784312, 52=36112.80392156861}"
2022,170402080302,"{95=5185.858823529412, 11=630.3803921568627, 52=84232.60392156873, 71=4002.8117647058825, 24=9.0, 90=188.5450980392157, 42=3616.8431372549026, 82=28405.61176470587, 81=4532.184313725489, 23=453.9372549019608, 41=804.0627450980392, 22=3080.956862745098, 21=3814.4156862745094}"
