Year,huc12,histogram
2005,170402080101,"{1=1.0, 61=15088.541176470588, 24=493.74117647058824, 25=156.49803921568628, 36=2236.521568627451, 88=11.0, 82=316.09411764705885, 21=6.0, 176=65410.30588235299, 43=2.0, 63=24705.843137254902}"
2005,170402080103,"{1=11.125490196078431, 61=3705.007843137254, 25=5.0, 24=98.27843137254902, 36=116.20392156862745, 88=6.964705882352941, 82=75.69019607843137, 176=5875.674509803919, 63=31850.01960784314}"
2005,170402080206,"{25=86.02745098039216, 176=27186.38039215688, 61=4597.043137254901, 1=78.45490196078431, 28=11.0, 24=398.1294117647058, 88=115.75294117647059, 36=1118.8117647058825, 43=23.0, 82=956.572549019608, 23=101.72156862745098, 81=20.0, 41=1.0, 21=1052.6705882352944, 63=49200.70196078433}"
2005,170402080501,"{25=68.30980392156863, 176=41987.635294117674, 61=18570.77254901962, 1=55.31372549019608, 28=2.4862745098039216, 24=1063.1058823529415, 36=7807.482352941177, 88=80.02745098039216, 82=855.9019607843137, 63=44827.55294117647, 23=15.0, 41=1.0, 43=43.0, 21=167.49803921568628}"
2005,170402080502,"{1=31.0, 61=4563.72156862745, 24=2121.7882352941174, 25=49.98039215686275, 36=2359.8078431372555, 88=38.0, 82=767.9254901960785, 63=20845.545098039212, 23=66.95686274509804, 176=17457.403921568628, 43=11.0, 21=142.1921568627451}"
2005,170402080503,"{33=31.0, 25=93.08235294117647, 176=87265.87843137249, 1=22.0, 61=4850.149019607843, 24=1688.1921568627452, 36=3637.3803921568633, 88=82.0, 82=3296.7568627450974, 63=18472.50588235294, 23=69.0, 41=10.0, 43=2.4980392156862745, 21=221.2627450980392}"
2005,170402080504,"{25=23.862745098039213, 176=58884.50196078426, 1=5.533333333333333, 61=6789.58431372549, 24=1059.1450980392158, 88=20.00392156862745, 36=1743.8039215686276, 81=3.0, 82=1724.7529411764704, 21=102.45098039215688, 23=12.75686274509804, 41=2.0, 43=12.431372549019608, 63=69547.43529411762}"
2005,170402080505,"{25=195.6392156862745, 176=65304.333333333394, 1=5.133333333333333, 61=5164.305882352944, 24=1498.3333333333328, 88=725.1764705882354, 36=1729.38431372549, 82=8893.878431372545, 23=76.01568627450982, 81=20.0, 21=290.3294117647059, 43=1.0666666666666667, 63=14410.725490196082}"
2005,170402080601,"{25=543.0, 176=45900.07058823533, 61=8198.172549019606, 1=257.5333333333333, 28=3.0, 24=2822.588235294118, 36=1317.7254901960785, 88=55.68235294117647, 82=923.8509803921567, 23=238.0, 81=4.0, 63=44436.019607843155, 43=316.0, 21=139.38823529411764}"
2005,170402080604,"{25=40.0, 176=62085.450980392125, 1=36.0, 61=555.4313725490197, 24=8304.729411764705, 36=131.08235294117645, 88=55.694117647058825, 82=182.12941176470588, 63=877.3019607843138, 23=165.2078431372549, 41=26.0, 43=3671.0, 21=173.0}"
