Date,UID,pr,etr,eto,tmmn,tmmx,rmin,pr_1,etr_1,eto_1,tmmn_1,tmmx_1,rmin_1
2017-03-01,102,34.015384605297676,112.69230766479785,80.64615394518925,272.65831111027643,284.8878408578726,38.962530869704025,50.57447970839856,109.41635123626693,78.57570659557928,272.7789162614247,283.54390528005047,40.11906215215347
2017-03-01,103,21.489896796006963,101.90646602382671,74.38946238354177,272.9417640652919,285.164600858216,41.65783540611228,39.51488006911386,104.05035006571353,75.6704819436395,272.9740753297114,283.90698597047833,41.50272190182349
2017-04-01,101,84.94565959315021,122.32150576125909,91.71148701665159,271.90321594606445,283.92618148407536,36.42060237677429,119.32828427476186,115.59536562775908,87.53034778152238,271.70313216528143,282.77593209577293,38.016147912575036
2017-04-01,102,88.83846144951306,127.20769284321712,94.70769236637996,272.89512986403247,285.63922823392426,36.14538486187275,110.29541289063243,119.09313862956961,89.46749557886696,272.42824046333095,284.09688649445997,37.823963181124526
2017-04-01,103,72.2732524914694,117.64153559667199,89.42436762736456,273.54009950840805,286.03844125876446,37.55595986569398,100.58175996935996,114.84124027423357,87.71076613926292,272.7643512260422,284.5781759215337,38.458203505288225
2017-05-01,101,20.179884669351168,182.2612379392926,139.81565673511358,275.6685442620615,291.88718456525424,29.573095589274345,25.012873801058507,175.6207669416436,135.95221217459974,276.13264519298684,290.68883305050946,31.003831120524577
2017-05-01,102,17.976922894899662,188.56153856790982,143.89230781335098,276.17196185772235,293.16302724984973,29.683126596304085,24.12770046696449,180.50587975601945,139.2034447618825,276.4221350942718,291.63583208985716,31.491169268264404
2017-05-01,103,18.206301475352756,168.74243353660765,133.64771756678357,276.60225996894764,293.29076058556626,33.07211893301777,22.77025993675627,170.63442651677445,134.40615392466486,276.61898591246785,292.10986419973614,32.9497106666678
2017-06-01,101,20.813191736577657,225.42022064443088,171.67361647383046,280.26027922151343,297.94980504285803,29.959040016756568,24.41484953889708,216.98653113835616,167.12809887382602,281.05776545508184,296.8074820594931,31.559464712155513
2017-06-01,102,15.830769277535952,241.70000061622034,182.30769221599286,280.94717876727765,299.7010263296274,27.538974175086388,20.457953863513573,229.07591467085166,174.9657967559377,281.44265480216126,298.08264012111937,30.147811941402747
2017-06-01,103,25.452761504125,216.30564306687322,167.51761678638724,281.8356955245198,299.2102260032898,32.608644935689,26.6036762398568,216.14822945344676,167.32011863935236,281.8507160810393,298.14036330745256,32.70676604609202
2017-07-01,101,17.17435093901303,254.21447698719194,196.73482880766173,284.4775128348306,303.99570460085664,24.438477844570432,15.129884392816892,250.82823542805616,195.51600593279338,286.1406663109067,302.9679411524267,24.575934851644707
2017-07-01,102,19.48461538553238,270.64615433032697,206.50000042181748,285.42828369140625,305.5573214017428,21.297518656804012,16.055023354294164,261.66590091934745,201.68534765110317,286.70329407582193,304.13449652709926,22.638180533405468
2017-07-01,103,4.854572637850004,256.95119011064907,200.56115842111777,285.847898207209,306.34994230483085,22.460840493293425,6.602646115201118,254.3307166487389,198.92621859355071,286.80274827558003,304.8844775778567,23.357080691784752
2017-08-01,101,16.845397393502747,231.86635248072653,170.5921059742144,281.94671245888094,301.36120318941266,22.369818860265863,18.411049335360488,227.15783239243714,168.1302160198116,283.7428787375108,300.1878159140266,22.636632466456955
2017-08-01,102,17.553846141466728,249.67692360511194,181.40769287256094,282.9588106595553,302.84293072040265,19.12605461707482,16.409074577625745,239.99917904033757,175.88980241099398,284.327465514431,301.34700014007177,20.159363435082156
2017-08-01,103,6.6744948292479815,235.69817395981804,173.46323903605105,283.9014369015065,303.1953463429482,20.715713293997407,9.147427910157782,231.29735415966843,170.93532187765956,284.5959696462781,301.67769121642135,21.04545900014543
2017-09-01,101,69.08505101559389,145.09186957100073,105.27720921545432,277.8231503866552,293.7271959578431,34.915383680830345,79.55287577503283,139.45433918829576,102.02790844577706,278.82093481801417,292.4172031263578,36.84380096814431
2017-09-01,102,75.08461563862286,153.54615377921326,110.63846158981323,278.64615337665265,294.9938448392428,32.51153828547551,80.51375105187945,144.25581617663283,105.28795247003177,279.3969197059261,293.3916614930843,35.9914410187757
2017-09-01,103,71.36247574269566,152.44017340012465,109.89152792007374,279.3536977118458,295.34452656981586,33.09694963542845,82.00463237185426,144.06006613323586,105.06832066520248,279.4190550685218,293.8541419565789,35.85798677266719
2017-10-01,101,8.339732508966685,110.4370839560779,73.9619982464558,270.41118539589587,286.1150036963646,28.757792255992875,14.141377609813205,104.01815696828358,70.1589977916575,271.4519845322461,284.7100714150334,30.338245862099868
2017-10-01,102,9.100000000916994,117.91538445766156,78.40000015955705,271.05509127103363,287.62059607872595,26.53945409334623,11.865400409906346,108.13561413367549,72.73051758134501,271.87309833479986,285.6651079952731,29.779252036060775
2017-10-01,103,10.21272266272424,99.87205493721382,67.84943857026697,271.0759151865848,286.76991475925644,30.15714322498256,13.714799358541837,98.7284741894659,67.17217858807916,271.6861055838012,285.4328440330499,31.684902278104953
2017-11-01,101,56.87521643257817,61.73118266491026,39.73404135768209,270.4370795009082,280.8449918325261,48.03006913159859,82.98966290209289,58.19159944457039,37.64780231815626,270.92668134809463,279.9729769071362,50.316935875839285
2017-11-01,102,55.57692320300983,66.5076921662459,42.61538445376433,271.4092313326322,282.331538273738,44.957435607910156,73.88296447479338,60.26027088836951,38.96796274749907,271.4922741952103,280.90094976590336,49.66748915249221
2017-11-01,103,32.35596472418803,59.069181152414096,38.12324499800666,271.3243172640859,282.35769506693424,45.767106583082395,60.26848903047949,55.839994514391606,36.264233777060234,271.355824894575,281.0603202082157,49.91181348296724
2017-12-01,101,18.20870702701418,38.68059270655642,24.19609237096104,263.39458348924273,274.32894779808595,49.78363077327269,38.27916481876508,34.559905425154604,21.641070424408397,264.31051518876495,273.63477612058165,54.41705326154946
2017-12-01,102,21.746153893379066,36.7769230397848,23.215384704562332,263.73126455453723,275.03722205528845,51.99602948702299,36.11319897048094,33.767283338130994,21.434679920616503,264.8216575747489,274.4711864349566,56.409995010229814
2017-12-01,103,17.218021271311226,25.910387737443703,16.603742036160515,263.31851489999633,273.4312785936141,61.937981965102544,34.95310393950423,28.118940299895556,17.983982079805603,264.5740901989144,273.6872232356483,60.57869621829592
