Date,huc12,sims_mean,sims_25th,sims_50th,sims_75th
2004-10-01,170402080307,33.239764995655605,25.000000000000004,30.467666442672748,38.352443786635895
2004-10-01,170402080308,33.702333790163124,23.99750740853574,29.465732348319776,41.986381114191175
2004-10-01,170402080401,34.699664560085886,24.0,30.000000000000004,41.99999999999999
2004-10-01,170402080403,45.25501267446624,32.0,45.99999999999999,56.0
2004-10-01,170402080205,28.139760566727457,22.000000000000007,25.999999999999996,30.000000000000007
2004-10-01,170402080402,39.57826729988663,28.00000000000001,37.99999999999999,47.99999999999999
2004-10-01,170402080404,35.688992052243044,27.00000000000001,29.27108699974112,45.0
2004-11-01,170402080608,12.762432414634242,9.0,10.999999999999998,16.0
2004-11-01,170402080102,13.918987336187223,12.000000000000002,13.245981701782426,16.0
2004-11-01,170402080104,17.039752230022536,15.0,17.163766937358968,18.999999999999996
2004-11-01,170402080106,12.626178322336491,11.000000000000002,12.518088923763251,13.96527102221876
2004-11-01,170402080107,12.483881717674675,10.0,13.000000000000004,15.000000000000004
2004-11-01,170402080105,13.964122606027132,11.110955347422626,13.999999999999996,16.0
2004-11-01,170402080108,14.750753320829723,11.999999999999998,13.999999999999996,18.000000000000004
2004-11-01,170402080211,17.877948782007905,14.63939067891153,17.275161988381523,20.474756114712385
2004-11-01,170402080506,13.783628908850051,9.0,12.0,18.0
2004-11-01,170402080602,11.91080501957812,9.519879003813177,11.447674753386812,13.47341652046744
2004-11-01,170402080603,12.114491853869945,9.000000000000002,12.000000000000002,15.000000000000002
2004-11-01,170402080605,12.187306948193063,8.0,10.181631577540411,17.050477818194654
2004-11-01,170402080607,12.10077307592702,8.0,11.000000000000004,16.0
2004-11-01,170402080606,11.92226269801461,8.0,9.134577289852528,15.0
2004-11-01,170402080507,13.085928864861826,9.0,11.0,17.000000000000004
2004-11-01,170402080101,11.320572186793395,9.306888069568016,9.306888069568016,13.000000000000002
2004-11-01,170402080103,18.254334805778683,16.0,17.0,20.000000000000004
2004-11-01,170402080206,20.18366196690799,20.0,21.0,23.0
2004-11-01,170402080501,17.21461451778819,16.0,17.0,19.0
2004-11-01,170402080502,18.18240130972872,15.0,17.0,20.000000000000007
2004-11-01,170402080503,15.659583512026536,11.999999999999991,14.0,19.000000000000004
2004-11-01,170402080504,14.430549665201326,11.0,14.29828341465152,18.0
2004-11-01,170402080505,13.212088984512588,9.50758715436642,11.25402889432116,17.266425024259377
2004-11-01,170402080601,13.810853561467685,12.0,13.000000000000002,15.000000000000004
2004-11-01,170402080604,12.67264019869541,8.999999999999998,11.0,17.0
2004-11-01,170402080305,16.71311510225867,13.999999999999998,17.0,19.000000000000004
2004-11-01,170402080306,18.11962795691441,13.999999999999998,16.999999999999993,20.99999999999999
2004-11-01,170402080201,11.870833070343696,10.999999999999998,12.000000000000004,13.0
2004-11-01,170402080203,17.394882199334052,14.000000000000004,16.0,21.000000000000004
2004-11-01,170402080202,13.745856383691152,11.000000000000002,13.0,15.000000000000004
2004-11-01,170402080204,16.17434070083574,13.000000000000004,15.000000000000009,19.207145753993764
2004-11-01,170402080208,19.79635927671749,17.999999999999996,20.000000000000004,22.0
2004-11-01,170402080209,20.328371337620144,18.0,21.0,23.0
2004-11-01,170402080207,18.268393898159424,16.524837161903953,17.999999999999996,20.0
2004-11-01,170402080210,19.34217692522487,17.0,19.374929101295603,22.000000000000004
2004-11-01,170402080301,15.894065476583824,13.213247364446085,13.213247364446085,17.193260073260074
2004-11-01,170402080303,17.276455140001392,13.999999999999998,16.0,20.0
2004-11-01,170402080302,16.83829737804571,14.038553493921333,17.06587375170119,19.0
2004-11-01,170402080304,16.668951017390718,13.999999999999996,16.38576832655127,19.0
2004-11-01,170402080307,17.505532185611223,14.832451887803265,16.424798148627147,19.0
2004-11-01,170402080308,17.35953932046622,13.4708647050228,17.610918328677556,19.99788015716782
2004-11-01,170402080401,17.281157949149765,14.0,17.000000000000004,20.00000000000001
2004-11-01,170402080403,18.893335719660996,14.999999999999991,19.0,22.0
2004-11-01,170402080205,13.825123543514582,11.0,12.999999999999991,16.0
2004-11-01,170402080402,18.88132861157216,14.999999999999996,19.0,22.000000000000004
2004-11-01,170402080404,16.017382668418744,13.525225738973887,14.000000000000004,19.0
2004-12-01,170402080608,3.903673863895847,3.000000000000005,3.000000000000005,4.163015105385639
