Date,huc12,ensb_mean,ensb_25th,ensb_50th,ensb_75th
2001-12-01,170402080205,3.256178783830588,2.0,3.0000000000000018,4.071315650406731
2001-12-01,170402080402,3.9216159282678458,2.9999999999999973,4.0,5.000000000000006
2001-12-01,170402080404,4.596783882104583,2.319644548001153,4.0,6.2707057643035125
2002-01-01,170402080608,3.0734348662693844,0.0,1.0,4.0
2002-01-01,170402080102,2.7187826666884,1.0,2.0467707387460576,4.105091997438863
2002-01-01,170402080104,3.7011792859606767,1.0,2.0,6.016710165725683
2002-01-01,170402080106,1.7608084794050802,0.0,1.0,2.2319207727106005
2002-01-01,170402080107,1.4609406880367095,0.0,0.0,1.0
2002-01-01,170402080105,1.716356419998405,0.0,0.0,1.0
2002-01-01,170402080108,2.562353877986011,0.0,0.0,2.0
2002-01-01,170402080211,6.3692987140871065,2.347691599852165,6.000000000000002,9.999999999999998
2002-01-01,170402080506,8.66432121614053,5.000000000000001,8.341830961792363,11.095396698552037
2002-01-01,170402080602,10.79477182550989,8.0,11.849574594346192,14.000000000000004
2002-01-01,170402080603,7.528398653633734,4.0,7.000000000000005,9.999999999999998
2002-01-01,170402080605,2.882042768216696,0.0,1.0,4.075630422894712
2002-01-01,170402080607,0.6044729320934358,0.0,0.0,0.0
2002-01-01,170402080606,0.7637074343945803,0.0,0.0,1.0
2002-01-01,170402080507,4.629696603801878,1.0,2.0,8.0
2002-01-01,170402080101,0.8432177261192747,0.0,0.0,0.0
2002-01-01,170402080103,4.90851750547804,1.0,2.9999999999999973,8.0
2002-01-01,170402080206,5.927725736134357,2.0002173464062136,4.020264189939083,9.007687279101878
2002-01-01,170402080501,8.107468810025429,4.0,8.0,11.000000000000009
2002-01-01,170402080502,6.541821119676743,1.0,6.999999999999999,11.00000000000002
2002-01-01,170402080503,8.78373301529007,6.999999999999999,9.0,12.000000000000004
2002-01-01,170402080504,3.745883297049649,1.0,1.0,5.353458598604597
2002-01-01,170402080505,4.954983156462043,1.0,2.2865927646500994,7.000000000000002
2002-01-01,170402080601,6.86860601511295,2.171526097815592,7.000000000000002,9.999999999999998
2002-01-01,170402080604,5.910557301412204,0.0,6.000000000000002,11.000000000000002
2002-01-01,170402080305,2.568989138212784,0.0,1.0,4.41357466489577
2002-01-01,170402080306,1.3111515756292087,0.0,0.0,1.0
2002-01-01,170402080201,0.7654361030789698,0.0,0.0,1.0
2002-01-01,170402080203,3.9501530310127086,0.0,2.0,6.999999999999998
2002-01-01,170402080202,1.2233667265543255,0.0,0.0,1.0
2002-01-01,170402080204,1.962424623249352,0.0,0.0,1.0
2002-01-01,170402080208,4.201468956789249,0.0,4.0,8.0
2002-01-01,170402080209,4.514125417921999,1.0,3.0000000000000013,8.011763444589844
2002-01-01,170402080207,6.1570115453789125,0.0,5.39551521933512,10.367057173984628
2002-01-01,170402080210,5.784030948723271,1.0,5.8556905626504525,10.000000000000002
2002-01-01,170402080301,4.479774758940812,1.0,2.40333801656379,8.0
2002-01-01,170402080303,2.583397635379082,0.0,0.0,2.149269205737378
2002-01-01,170402080302,0.7610206262174612,0.0,0.0,1.0
2002-01-01,170402080304,2.94947774491522,0.0,1.0,4.0
2002-01-01,170402080307,2.35915234994716,0.0,1.0,2.194709334361783
2002-01-01,170402080308,0.910292146822056,0.0,0.0,0.0
2002-01-01,170402080401,2.783649369782328,0.0,0.0,5.999999999999995
2002-01-01,170402080403,4.964848219826619,1.0,5.999999999999997,8.0
2002-01-01,170402080205,2.0139862531637904,0.0,0.0,1.0
2002-01-01,170402080402,3.5427006755629424,0.0,2.0,6.000000000000002
2002-01-01,170402080404,8.110680638661115,5.851781779704889,8.259830834761924,10.362111472091891
2002-02-01,170402080608,10.742732011567838,7.0,10.000000000000012,16.0
2002-02-01,170402080102,6.431742071706439,2.2431249247991487,6.23377444287823,9.000000000000004
2002-02-01,170402080104,10.20101921152328,5.070226085620647,10.999999999999996,14.000000000000004
2002-02-01,170402080106,5.513050332831637,2.468257342518557,4.999999999999999,9.000000000000002
2002-02-01,170402080107,3.599938490743708,0.0,1.0,5.999999999999999
2002-02-01,170402080105,3.064863739743007,1.0,2.0,4.0
2002-02-01,170402080108,2.8562587062022327,0.0,1.0,4.0
2002-02-01,170402080211,5.741379095122572,2.0,4.285622728144463,8.0
2002-02-01,170402080506,11.028567269899815,8.354332333884171,10.999999999999998,12.999999999999996
2002-02-01,170402080602,10.77514259451584,8.270067484821256,11.202581937626828,13.163361599952594
2002-02-01,170402080603,11.175617108374746,8.0,10.511954989278212,14.000000000000004
2002-02-01,170402080605,8.638331939286902,5.4536697965677705,9.335796199751265,10.304471396519146
2002-02-01,170402080607,8.44413571008319,6.620258961398775,8.0,9.265929999411489
2002-02-01,170402080606,8.101162065552456,6.000000000000001,8.0,9.0
2002-02-01,170402080507,10.1220669967867,7.000000000000007,8.999999999999998,12.999999999999996
2002-02-01,170402080101,5.816513461252199,3.0,6.000000000000002,8.0
2002-02-01,170402080103,12.812065440332788,9.000000000000002,13.000000000000009,14.999999999999996
2002-02-01,170402080206,12.362099259989671,8.022941345942007,12.000000000000009,14.999999999999996
2002-02-01,170402080501,9.96468757834112,6.000000000000001,10.000000000000002,12.999999999999996
2002-02-01,170402080502,7.88991996610714,1.0,5.999999999999999,11.999999999999998
2002-02-01,170402080503,8.497091814088037,4.999999999999994,8.0,12.000000000000009
2002-02-01,170402080504,11.01898020989139,6.649689824434606,10.350254816128562,13.257122020107982
2002-02-01,170402080505,10.423068072711152,7.000000000000001,9.459917196062769,11.999999999999998
2002-02-01,170402080601,9.64799838714265,7.000000000000003,10.139172481130425,11.999999999999996
2002-02-01,170402080604,9.32040878288184,4.999999999999999,9.000000000000009,12.0
2002-02-01,170402080305,5.220803586111297,2.0,4.497330051272567,8.0
2002-02-01,170402080306,3.1556768626232863,1.0,2.0,4.999999999999997
2002-02-01,170402080201,2.783164006484109,1.0,2.0,3.0000000000000013
2002-02-01,170402080203,3.881884749006777,0.0,1.0,6.000000000000002
2002-02-01,170402080202,2.8070998092853445,0.0,1.0,4.0
2002-02-01,170402080204,2.904041251086721,0.0,1.0,2.0
2002-02-01,170402080208,6.105277754242223,2.0,4.999999999999997,8.0
2002-02-01,170402080209,7.951294842545931,3.0,6.9999999999999964,11.0
2002-02-01,170402080207,6.969813256852938,2.0,6.0,10.503595319347715
2002-02-01,170402080210,5.974055115346818,2.2022517008346534,4.404175918516977,9.000000000000004
