Date,huc12,sseb_mean,sseb_25th,sseb_50th,sseb_75th
2022-03-01,170402080401,21.685914993674416,15.0,21.50346806555347,27.999999999999982
2022-03-01,170402080403,26.280565770467454,17.999999999999996,24.000000000000007,31.0
2022-03-01,170402080205,23.402840922221014,13.000000000000004,19.00000000000001,31.000000000000007
2022-03-01,170402080402,33.97640645138866,20.999999999999996,32.0,46.000000000000014
2022-03-01,170402080404,28.632966667831827,16.38949649585571,23.541401337260204,36.0
2022-04-01,170402080608,59.88408596030167,32.50405240165978,49.46956379313932,103.99999999999991
2022-04-01,170402080102,28.690858386849648,20.412834169750862,28.0,35.00000000000001
2022-04-01,170402080104,36.888606272087785,25.000000000000004,34.99999999999999,46.99999999999999
2022-04-01,170402080106,29.51892142971527,21.510256888111225,29.95233216250991,37.00000000000001
2022-04-01,170402080107,28.917270498725717,19.99999999999999,27.000000000000007,36.000000000000014
2022-04-01,170402080105,29.74720522276811,20.859842287960028,26.426943529715626,35.3943687993491
2022-04-01,170402080108,30.042073144277342,22.93043095201966,27.797116469331925,34.380121209991664
2022-04-01,170402080211,39.21106994016195,29.51082379496582,38.99999999999999,47.342125017119336
2022-04-01,170402080506,34.60830170938229,25.0,32.38013721729542,42.00000000000001
2022-04-01,170402080602,31.03487810640955,23.0,29.275601807411803,38.000000000000014
2022-04-01,170402080603,36.96148425920203,26.53065687390212,35.00000000000001,45.00000000000001
2022-04-01,170402080605,38.1510361868045,28.12890161869741,37.16259485680113,48.0
2022-04-01,170402080607,39.8313933271603,26.11714501521523,37.0,49.04209778469628
2022-04-01,170402080606,31.05215316196582,19.0,31.000000000000004,42.358855610780616
2022-04-01,170402080507,34.49965881175844,25.0,33.0,43.0
2022-04-01,170402080101,25.985145656174165,20.0,26.412801324242142,32.384644936623964
2022-04-01,170402080103,43.7093390364116,29.000000000000004,39.000000000000014,53.00000000000001
2022-04-01,170402080206,45.916021918904974,32.0,44.00000000000001,55.00000000000002
2022-04-01,170402080501,36.22943943931471,23.00000000000001,32.999999999999986,46.99999999999999
2022-04-01,170402080502,40.12127788209052,26.0,37.000000000000014,50.99999999999998
2022-04-01,170402080503,40.06008979209179,27.0,39.99999999999999,52.000000000000014
2022-04-01,170402080504,43.37378699147502,31.0,41.246104541753965,53.0
2022-04-01,170402080505,33.12010035561927,22.0,32.42826457066535,41.73617297030415
2022-04-01,170402080601,34.44769348347253,24.124816505759057,31.0,41.0
2022-04-01,170402080604,34.727257513163124,28.000000000000018,33.99999999999999,39.99999999999999
2022-04-01,170402080305,35.5046555811796,25.000000000000007,33.0,44.99999999999999
2022-04-01,170402080306,36.85586027162029,30.00000000000001,38.00000000000001,44.00000000000001
2022-04-01,170402080201,31.96249751313148,22.000000000000004,32.0,41.00000000000002
2022-04-01,170402080203,31.82383436196438,17.999999999999996,29.0,44.0
2022-04-01,170402080202,26.40028186674708,18.000000000000004,24.000000000000018,33.00000000000001
2022-04-01,170402080204,29.475213071477096,18.0,25.0,34.00000000000001
2022-04-01,170402080208,42.81226819702644,30.000000000000007,40.0,53.99999999999999
2022-04-01,170402080209,46.335205183829,32.0,43.000000000000014,58.49111368942673
2022-04-01,170402080207,39.981540593703535,27.25820097981516,37.42228785784033,52.00000000000002
2022-04-01,170402080210,34.347311187603786,23.240109629305067,32.0,43.99999999999999
2022-04-01,170402080301,47.24279058026041,32.0,48.47517161135345,61.48964040065438
2022-04-01,170402080303,38.58279795290564,26.49783325442625,35.00000000000001,46.00000000000001
2022-04-01,170402080302,36.56944188492995,29.0,35.000000000000014,42.0702110595149
2022-04-01,170402080304,44.14845717645853,32.0,39.99999999999999,55.058822519503366
2022-04-01,170402080307,36.53384063318399,25.288914692650906,34.38667307967925,45.00000000000001
2022-04-01,170402080308,38.36984136508683,31.00000000000001,37.00000000000001,45.45655681421269
2022-04-01,170402080401,34.28848769440059,25.000000000000018,34.00000000000001,41.99999999999999
2022-04-01,170402080403,45.17666964082324,35.99999999999999,42.99999999999999,52.99999999999999
2022-04-01,170402080205,30.261214205011257,20.999999999999996,26.00000000000001,34.000000000000014
2022-04-01,170402080402,42.670451268023655,31.0,39.99999999999999,51.00000000000003
2022-04-01,170402080404,43.34821145007536,30.37534977979081,39.40228568116521,51.00000000000001
