Date,huc12,metric_mean,metric_25th,metric_50th,metric_75th
2020-05-01,170402080604,42.08805019222368,15.000000000000002,32.0,53.99999999999999
2020-05-01,170402080305,74.93128115436214,49.49283890596494,73.51897194612715,98.48899915278004
2020-05-01,170402080306,66.59160026444744,43.00000000000001,64.0,86.99999999999999
2020-05-01,170402080201,82.28274971321959,66.00000000000003,82.0,98.0
2020-05-01,170402080203,78.88419126788379,50.00000000000001,78.99999999999999,106.0
2020-05-01,170402080202,71.24001675280225,52.01264658466388,68.04475174363809,87.0
2020-05-01,170402080204,84.11280048017478,58.000000000000014,79.00000000000001,108.36033416074504
2020-05-01,170402080208,83.0761856949186,63.0,84.0,101.0
2020-05-01,170402080209,85.67775591323182,66.00000000000001,87.00000000000001,105.0
2020-05-01,170402080207,87.13821619167416,68.05453537818798,87.13528792992568,107.0
2020-05-01,170402080210,71.46881846643322,47.45958554540619,70.41555505973173,94.40286481429736
2020-05-01,170402080301,83.40061025813809,60.46681478489193,83.48789404054075,106.0
2020-05-01,170402080303,64.5491178825828,40.44055026842362,64.0,88.0
2020-05-01,170402080302,57.26143490065156,30.492163138831916,50.50289387743548,78.52627837446988
2020-05-01,170402080304,66.13047623163433,41.0,67.0,89.00000000000003
2020-05-01,170402080307,66.52939354263647,41.0,65.31842959525318,90.34768315620406
2020-05-01,170402080308,58.088882271435416,24.476436971246827,51.43913088392272,84.87438380466871
2020-05-01,170402080401,55.69713208293111,23.0,49.0,78.50565138812662
2020-05-01,170402080403,70.91237319193999,42.99999999999999,70.99999999999999,96.0
2020-05-01,170402080205,79.63881962208285,56.01208104137483,75.02736640180213,101.99999999999996
2020-05-01,170402080402,82.41672336818048,56.99999999999999,83.0,108.0
2020-05-01,170402080404,66.33331815792572,38.3901066075703,62.6297252163352,92.63769253841946
2020-06-01,170402080608,125.60213709379089,85.00000000000003,134.47254344779674,175.46789895383594
2020-06-01,170402080102,106.67202777279738,88.00000000000001,109.27149050299997,127.0
2020-06-01,170402080104,118.60211356550349,93.0,121.12339754947531,145.99999999999997
2020-06-01,170402080106,103.46332625421094,83.99999999999999,108.00000000000004,125.0
2020-06-01,170402080107,97.13249374070452,75.99999999999997,98.00000000000004,120.0
2020-06-01,170402080105,99.1763702140283,72.53357151132687,98.47595883091142,126.48653869143118
2020-06-01,170402080108,100.67729734974972,70.47617294503382,102.42294093422127,129.99999999999997
2020-06-01,170402080211,97.23729134754096,73.00000000000001,100.33972105664832,123.0
2020-06-01,170402080506,71.74659535723997,32.42579125726722,68.00000000000001,108.0
2020-06-01,170402080602,62.64873759608269,33.44477579639889,61.0,89.38924066840175
