Date,huc12,sebal_mean,sebal_25th,sebal_50th,sebal_75th
2013-03-01,170402080103,26.16609189637547,10.000000000000002,10.000000000000002,45.99999999999999
2013-03-01,170402080206,28.28950477158061,10.0,28.000000000000004,45.00715088546743
2013-03-01,170402080501,32.75590976211937,10.999999999999996,39.00000000000001,46.99999999999999
2013-03-01,170402080502,28.164905091766165,16.0,27.999999999999996,41.00000000000001
2013-03-01,170402080503,24.05776854008698,8.0,24.0,39.00000000000001
2013-03-01,170402080504,26.93047154444347,10.000000000000004,26.145661270282123,44.905415359363
2013-03-01,170402080505,24.655267063952557,13.0,23.10389554413197,32.0
2013-03-01,170402080601,34.92855396541298,23.0,42.99999999999999,45.0
2013-03-01,170402080604,44.96519202155502,23.0,54.0,61.00000000000003
2013-03-01,170402080305,30.150054992709308,10.999999999999996,27.99999999999999,47.0
2013-03-01,170402080306,40.43645736168772,28.000000000000004,46.00000000000001,55.0
2013-03-01,170402080201,17.36660412193466,6.999999999999999,9.000000000000002,41.0
2013-03-01,170402080203,32.135706298655634,9.999999999999991,34.0,46.0
2013-03-01,170402080202,26.14283238379287,5.024944405178508,22.000000000000004,44.181994375409474
2013-03-01,170402080204,24.75973365903829,3.0,9.999999999999996,46.99999999999999
2013-03-01,170402080208,33.81978281927045,9.999999999999998,43.99999999999999,46.99999999999999
2013-03-01,170402080209,25.472668547665783,10.000000000000009,10.000000000000009,44.99999999999999
2013-03-01,170402080207,30.30292459193135,9.85313230604804,33.0,46.34298186594113
2013-03-01,170402080210,24.96101603774626,9.0,22.38914528045824,40.0
2013-03-01,170402080301,27.581068245923426,9.935925063229162,9.935925063229162,44.99999999999999
2013-03-01,170402080303,18.748218843804068,8.474300532708993,10.000000000000009,29.99924519645242
2013-03-01,170402080302,39.14891719788074,16.0,45.99999999999999,62.2406411676218
2013-03-01,170402080304,26.522877884802664,8.0,12.0,48.0
2013-03-01,170402080307,37.95649487175898,10.0,46.0,60.44488671775166
2013-03-01,170402080308,32.52951199510044,9.44141048279686,36.99999999999999,53.00000000000001
2013-03-01,170402080401,34.747948349806514,10.99424177163514,38.00000000000001,52.99999999999999
