Date,huc12,pr,etr,tmmn,tmmx
2000-03-01,170402080303,48.58931991798338,92.52017749807771,268.69553295215525,281.2544989952674
2000-03-01,170402080302,34.6552079030858,98.17193559801585,268.99262493893434,282.24676353694554
2000-03-01,170402080304,53.24695682497161,91.40758645530718,268.32432872990887,280.7108685730369
2000-03-01,170402080307,41.63363313824087,96.39996759878514,268.75787028377897,281.9006038851024
2000-03-01,170402080308,32.67877304211918,100.60488287935735,269.2020995819023,282.6362069796013
2000-03-01,170402080401,34.03118528654942,100.6670165844625,269.2107075270697,282.7633751799975
2000-03-01,170402080403,49.71681176044129,96.69957007667523,268.80170422229133,281.9048459678342
2000-03-01,170402080205,40.98055615916039,92.59614826464677,267.4542419899068,281.1389804545531
2000-03-01,170402080402,61.663918980737414,90.08480620846116,268.7855983397632,281.0815379873152
2000-03-01,170402080404,51.36574125362091,96.38929973131654,268.81682691669863,281.80537134250534
2000-04-01,170402080608,18.912137411260165,159.35681816357712,274.6900785936008,291.07860395313213
2000-04-01,170402080102,31.01088581241044,145.4296424052449,272.99872008867214,287.381213337893
2000-04-01,170402080104,43.28140135945464,140.31509922577604,272.7547207067509,285.88709994275183
2000-04-01,170402080106,27.572599189865784,146.0958322615018,273.27176391929123,286.9821135601119
2000-04-01,170402080107,26.28651069354851,150.3554237456625,272.89662181637357,287.79095403869013
2000-04-01,170402080105,27.157510391728586,153.7410070003842,272.9085020934335,288.4335162823016
2000-04-01,170402080108,30.73504468141375,158.0762034123653,272.93772218446475,288.75983094911317
2000-04-01,170402080211,37.66756457056136,158.44300481105566,273.84147385296467,288.9576626881933
2000-04-01,170402080506,29.12374662437576,158.21653200067217,275.03743310812655,289.67980370884914
2000-04-01,170402080602,35.35205355502167,147.340597776421,274.03362253475365,288.64883398937855
2000-04-01,170402080603,39.25826133591163,147.72764666004397,273.77745475975735,287.8821668906214
2000-04-01,170402080605,21.93841160500091,153.94420349687746,274.33170842209915,290.53076069452993
2000-04-01,170402080607,18.608644165847405,153.04706023028757,274.4672762238671,291.011961583447
2000-04-01,170402080606,18.216261608288765,154.90286932072055,274.4710269976266,291.0751838523125
2000-04-01,170402080507,23.413313285545012,161.38324651319994,274.85603620440133,290.5294430624255
2000-04-01,170402080101,28.7030524184237,144.23759470164813,273.1543950822349,287.58711827612194
2000-04-01,170402080103,44.82856047425285,144.02441119604077,273.29186544511526,286.12486242238396
2000-04-01,170402080206,52.26229867116946,142.45875461696613,273.00454209882594,285.86409592589837
2000-04-01,170402080501,38.20948084805289,151.58772635530607,273.9657469146475,288.0005385284605
2000-04-01,170402080502,38.30405006041894,154.34187282863846,273.9589646385606,287.9728274875217
2000-04-01,170402080503,30.59936429850311,163.0980276115204,274.63933299543675,289.6508779569705
2000-04-01,170402080504,37.916341289973936,148.3960633092312,274.2349002291557,287.7522995002682
2000-04-01,170402080505,30.147312373894945,160.4993830830748,274.6885328961279,289.3716126970745
2000-04-01,170402080601,41.15460188166276,141.3482778115706,273.53774231749696,286.94200984409883
2000-04-01,170402080604,23.7331149891353,151.5158177732887,274.24947758832855,290.2421189107169
2000-04-01,170402080305,35.43557629181231,156.88083974505943,274.3031421252907,288.95213445258446
2000-04-01,170402080306,31.190017926096907,163.59026643355685,274.3768480428059,289.88552307128896
2000-04-01,170402080201,27.4359024740232,146.18384499524092,272.0743427338471,286.9450161330765
2000-04-01,170402080203,33.64862010963124,159.21077430514157,273.3448775053911,288.51017869006307
